,username,comment,datentime
0,新浪财经,"【半年涨超260倍,一日跌超40%!马斯克""带货""的#狗狗币#到底是不是骗局? 】在社交网站上，宣布自己因投资数字货币而“暴富”的人每天都在涌现。除了今年以来不断创下历史新高的比特币、以太坊，马斯克在推特日复一日大肆宣传的狗狗币也成了“币圈新贵”。那么，价格随着马斯克的言论涨涨跌跌的狗狗币，是否真的具有投资价值？O半年涨超260倍,一日跌超40%!马斯克""带货""的狗狗币到底是不是骗局? 收起d",05月11日 00:31  来自 微博 weibo.com
1,陈一佳,埃隆·马斯克好不容易上了一次周六夜现场SNL，在节目里大谈偣饭繁 偳块链 。只能说马斯克的砸盘表演很成功，狗狗币跟着大跌超过20% #狗狗币近6个月上涨近250倍# L陈一佳的微博视频,05月10日 08:20  来自 微博视频号
2,孤傲与野,# 狗狗币创始人2015年已卖光 #买币的为什么亏了就4抗，完全不慌，赚一点就跑呢 %韭菜 ………懂得自然懂 L孤傲与野的微博视频,05月12日 22:01  来自 微博视频号
3,新浪财经,【#狗狗币#、以太币……加密货币今年为何“发洪水”？】一周前刚刚突破3000美元的以太币引发了全世界的关注，而周二，该加密货币价格再创新高，已经来到了4000美元上方。与此同时，上周末马斯克刚刚戳破了（几乎是自己一手拉起来的）狗狗币的泡沫，该加密货币2天大跌30%以上。从比特币到以太币和狗狗币，今年加密货币市场是彻底火了。O狗狗币、以太币……加密货币今年为何“发洪水”？ 收起d,05月12日 01:37  来自 微博 weibo.com
4,虎嗅APP,"【#狗狗币创始人2015年已卖光#，甘做打工人，认为疯狂上涨不理性】

2021年以来，狗狗币在“宣传大使”马斯克的鼓吹下疯狂上涨，但是很少有人知道狗狗币的创造者是谁：概念发起人杰克逊·帕尔默和程序开发者比利·马库斯。两人都在2015年先后卖出了所有狗狗币，退出了“狗币江湖”，并认为疯狂上涨是非理性的。@老板联播 L老板联播的微博视频 收起d",05月12日 19:07  来自 微博视频号
5,百姓评车,#狗狗币创始人2015年已卖光#可惜了，当时还不值什么钱！L老板联播的微博视频,05月12日 23:14  来自 微博视频号
6,泉州那些事儿,"狗狗币疯狂造富，但它的创始人只赚了辆二手本田

#狗狗币创始人2015年已卖光# L泉州那些事儿的微博视频",05月13日 01:17  来自 微博视频号
7,是富婆本人没错了,"来一个利好，我就是知道马斯克是要做空比特币，来推狗狗币，哈哈哈哈哈哈哈哈哈哈

#特斯拉暂停使用比特币##狗狗币#",05月13日 09:09  来自 iPhone 12
8,梨视频,【比特币、以太币创始人都暴富，#狗狗币创始人2015年已卖光#，呼吁别太疯狂】2021年以来，狗狗币在“宣传大使”马斯克的鼓吹下疯狂上涨，但是很少有人知道狗狗币的创造者是谁：概念发起人杰克逊·帕尔默和程序开发者比利·马库斯。两人都在2015年先后卖出了所有狗狗币，退出了“狗币江湖”，并认为疯狂上涨是非理性的。@老板联播 L老板联播的微博视频 收起d,05月12日 17:28  来自 微博视频号
9,马上评,"#马斯克称狗狗币是一场骗局# 周末节目中马斯克承认狗狗币是骗局，次日#狗狗币暴跌近40%# 总感觉数字币也进入了题材轮播，一个不行换一个，美元超发太多了…

当地时间8日，特斯拉CEO埃隆·马斯克在《周六夜现场》的录制现场，被主持人连续多次追问“狗狗币”到底是什么，并在对方质疑“狗狗币”就是一场“骗局”(hustle)时，最终“被迫”给出了肯定的回答。结果节目播出之后竟获得了意外的效果——次日狗狗币暴跌38.6%。#狗狗币# L马上评的微博视频 收起d",05月10日 16:10  来自 封印已解除Android
10,数码叫兽,"#SpaceX接受狗狗币支付# 不知是否想为自己的“失言”弥补，由马斯克创始的美国太空探索技术公司SpaceX宣布，现在将接受狗狗币作为独家支付方式，用于发射月球卫星DOGE-1。

此前马斯克口无遮拦又“说错话了”。特斯拉CEO马斯克将以主持人的身份，参与录制NBC的热门深夜喜剧秀《周六夜现场》他大力宣传了狗狗币，但在被追问狗狗币是否是一种“骗局”时。他回答：“是的。”而后，狗狗币应声下跌。 收起d",05月10日 10:17  来自 微博 weibo.com
11,新浪财经,【比特币、以太币创始人都暴富，#狗狗币创始人2015年已卖光#，呼吁别太疯狂】2021年以来，狗狗币在“宣传大使”马斯克的鼓吹下疯狂上涨，但是很少有人知道狗狗币的创造者是谁：概念发起人杰克逊·帕尔默和程序开发者比利·马库斯。两人都在2015年先后卖出了所有狗狗币，退出了“狗币江湖”，并认为疯狂上涨是非理性的。L老板联播的微博视频 O比特币、以太币创始人都暴富，狗狗币创始人2015年已卖光，呼吁别太疯狂 收起d,05月12日 22:31  来自 微博视频号
12,币圈仙女酱,"当狗狗币开始暴拉的时候，老韭菜会嘲笑，说狗狗币总量那么大，马斯克喊单肯定是要割韭菜。当etc启动的时候，老韭菜又笑了，说哈哈哈，末日战车发动了，这轮牛市马上就结束了！然后etc持续暴拉并且稳住，老韭菜又准备做空了
而当狗屎币一天暴拉10倍的时候，我相信不少人的三观已经被击碎：原来牛市还可以这样？？偣饭繁#O网页链接##财经# 收起d",05月12日 14:08  来自 iPhone客户端
